id,15566-15567,15566-15568,15566-15569,15566-15570,15566-15571,15566-15572,15566-15573,15566-15574,15566-15575,15566-15576,15566-15577,15578-15579,15578-15580,15578-15581,15578-15582,15578-15583,15578-15584,15578-15585,15578-15586,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff
2ad6f39f-1124-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
c8fe5ac9-204f-11ee-bd49-0277fb2b250b,2,4,2,4,5,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4
e5b28fbb-2417-11ee-bd49-0277fb2b250b,3,3,4,3,4,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4
22cb8399-24be-11ee-bd49-0277fb2b250b,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22cf15ec-24be-11ee-bd49-0277fb2b250b,4,3,3,3,4,4,2,5,4,4,3,4,4,4,4,4,4,4,4,4,4
2fd81fca-244a-11ee-bd49-0277fb2b250b,4,3,3,4,3,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3
17b74487-24d3-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3a9b26db-25aa-11ee-bd49-0277fb2b250b,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
43c67dab-2653-11ee-bd49-0277fb2b250b,3,5,4,5,3,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5
d22705fe-2666-11ee-bd49-0277fb2b250b,4,5,3,4,5,2,2,4,4,5,4,4,5,3,4,5,4,4,5,4,4
83b3c6ba-240f-11ee-bd49-0277fb2b250b,4,3,4,4,4,2,2,5,4,4,3,4,4,4,3,3,3,3,4,4,4
29723bf4-273b-11ee-bd49-0277fb2b250b,3,3,3,3,3,2,,4,2,3,3,3,2,,4,3,2,3,3,3,3
071397c0-29a6-11ee-bd49-0277fb2b250b,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
0324c4eb-29ad-11ee-bd49-0277fb2b250b,4,3,4,3,5,3,3,5,3,5,3,5,5,5,5,5,5,5,5,5,5
aeed0ad5-2a46-11ee-bd49-0277fb2b250b,1,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
75ea085f-2a50-11ee-bd49-0277fb2b250b,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
d7c04bae-2a58-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6dded36e-2a5e-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
222bd98b-2a8b-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
468eabf2-2b03-11ee-bd49-0277fb2b250b,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5
d1005e71-2b1d-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ba11ebb6-2b47-11ee-bd49-0277fb2b250b,5,3,5,3,5,5,3,5,4,5,3,5,5,5,5,5,5,5,5,5,5
8611964e-2d68-11ee-bd49-0277fb2b250b,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
86437de8-2d68-11ee-bd49-0277fb2b250b,5,4,5,3,3,3,3,5,5,5,5,5,5,5,1,,5,5,5,5,5
86c53094-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
86e36abd-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
86f262f5-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
86ed19d1-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8828ca8f-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,4,3,2,5,4,4,3,3,4,4,4,4,4,4,4,4,4
8ba65f83-2d68-11ee-bd49-0277fb2b250b,4,4,4,4,5,4,2,5,4,4,4,5,5,5,5,5,5,5,5,5,5
aae97778-2d68-11ee-bd49-0277fb2b250b,4,3,2,4,4,4,4,5,2,3,4,4,5,5,5,4,4,4,4,4,4
af583a47-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
b55d72a3-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
b9b2094c-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
f4b8e438-2d68-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1e4b6a20-2d69-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3775d7c9-2d69-11ee-bd49-0277fb2b250b,4,5,5,5,5,3,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
390485cc-2d69-11ee-bd49-0277fb2b250b,4,4,5,3,5,3,4,5,4,5,4,4,5,5,4,4,4,5,5,3,3
